identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:EE:AC:E1,3,34,-51,1,33,-52,70
80:6F:B0:EE:AC:E1,3,35,-51,1,33,41,-75
80:6F:B0:EE:AC:E1,3,36,-51,1,33,-32,81
80:6F:B0:EE:AC:E1,3,37,-51,1,33,7,-88
80:6F:B0:EE:AC:E1,3,38,-51,1,33,0,88
80:6F:B0:EE:AC:E1,3,39,-51,1,33,-8,-88
80:6F:B0:EE:AC:E1,3,40,-51,1,33,27,81
80:6F:B0:EE:AC:E1,3,41,-51,1,33,-32,-82
80:6F:B0:EE:AC:E1,3,42,-51,1,33,48,74
80:6F:B0:EE:AC:E1,3,43,-51,1,33,-48,-71
80:6F:B0:EE:AC:E1,3,44,-51,1,33,66,58
80:6F:B0:EE:AC:E1,3,45,-51,1,33,-77,-45
80:6F:B0:EE:AC:E1,3,46,-51,1,33,81,34
80:6F:B0:EE:AC:E1,3,47,-51,1,33,-86,-18
80:6F:B0:EE:AC:E1,3,48,-51,1,33,86,5
80:6F:B0:EE:AC:E1,3,49,-51,1,33,-90,1
80:6F:B0:EE:AC:E1,3,50,-51,1,33,81,-25
80:6F:B0:EE:AC:E1,3,51,-51,1,33,-81,35
80:6F:B0:EE:AC:E1,3,52,-51,1,33,78,-40
80:6F:B0:EE:AC:E1,3,53,-51,1,33,-72,47
80:6F:B0:EE:AC:E1,3,54,-51,1,33,62,-61
80:6F:B0:EE:AC:E1,3,55,-51,1,33,-54,67
80:6F:B0:EE:AC:E1,3,56,-51,1,33,47,-76
80:6F:B0:EE:AC:E1,3,57,-51,1,33,-32,82
80:6F:B0:EE:AC:E1,3,58,-51,1,33,8,-87
80:6F:B0:EE:AC:E1,3,59,-51,1,33,-1,87
80:6F:B0:EE:AC:E1,3,60,-51,1,33,-11,-86
80:6F:B0:EE:AC:E1,3,61,-51,1,33,24,86
80:6F:B0:EE:AC:E1,3,62,-51,1,33,-43,-78
80:6F:B0:EE:AC:E1,3,63,-51,1,33,53,68
80:6F:B0:EE:AC:E1,3,64,-51,1,33,-65,-60
80:6F:B0:EE:AC:E1,3,65,-51,1,33,64,60
80:6F:B0:EE:AC:E1,3,66,-51,1,33,-75,-45
80:6F:B0:EE:AC:E1,3,67,-51,1,33,82,23
80:6F:B0:EE:AC:E1,3,68,-51,1,33,-89,-10
80:6F:B0:EE:AC:E1,3,69,-51,1,33,88,3
80:6F:B0:EE:AC:E1,3,70,-51,1,33,-88,17
80:6F:B0:EE:AC:E1,3,71,-51,1,33,85,-19
80:6F:B0:EE:AC:E1,3,72,-51,1,33,-81,33
80:6F:B0:EE:AC:E1,3,73,-51,1,33,76,-43
80:6F:B0:EE:AC:E1,3,74,-51,1,33,-64,58
80:6F:B0:EE:AC:E1,3,75,-51,1,33,58,-67
80:6F:B0:EE:AC:E1,3,76,-51,1,33,-47,72
80:6F:B0:EE:AC:E1,3,77,-51,1,33,40,-78
80:6F:B0:EE:AC:E1,3,78,-51,1,33,-29,82
80:6F:B0:EE:AC:E1,3,79,-51,1,33,20,-85
80:6F:B0:EE:AC:E1,3,80,-51,1,33,3,89
80:6F:B0:EE:AC:E1,3,81,-51,1,33,-17,-85
80:6F:B0:EE:AC:E1,4,0,-51,1,8,-56,-7
80:6F:B0:EE:AC:E1,4,1,-51,1,8,0,60
80:6F:B0:EE:AC:E1,4,2,-51,1,8,53,-1
80:6F:B0:EE:AC:E1,4,3,-51,1,8,0,-56
80:6F:B0:EE:AC:E1,4,4,-51,1,8,-59,1
80:6F:B0:EE:AC:E1,4,5,-51,1,8,17,45
80:6F:B0:EE:AC:E1,4,6,-51,1,8,58,-14
80:6F:B0:EE:AC:E1,4,7,-51,1,8,-20,-54
80:6F:B0:EE:AC:E1,4,8,-51,1,8,26,52
80:6F:B0:EE:AC:E1,4,9,-51,1,8,-29,-44
80:6F:B0:EE:AC:E1,4,10,-51,1,8,43,55
80:6F:B0:EE:AC:E1,4,11,-51,1,8,-29,-32
80:6F:B0:EE:AC:E1,4,12,-51,1,8,29,35
80:6F:B0:EE:AC:E1,4,13,-51,1,8,-41,-26
80:6F:B0:EE:AC:E1,4,14,-51,1,8,43,25
80:6F:B0:EE:AC:E1,4,15,-51,1,8,-61,-18
80:6F:B0:EE:AC:E1,4,16,-51,1,8,58,17
80:6F:B0:EE:AC:E1,4,17,-51,1,8,-58,-12
80:6F:B0:EE:AC:E1,4,18,-51,1,8,54,7
80:6F:B0:EE:AC:E1,4,19,-51,1,8,-60,2
80:6F:B0:EE:AC:E1,4,20,-51,1,8,63,5
80:6F:B0:EE:AC:E1,4,21,-51,1,8,-62,3
80:6F:B0:EE:AC:E1,4,22,-51,1,8,57,-18
80:6F:B0:EE:AC:E1,4,23,-51,1,8,-40,28
80:6F:B0:EE:AC:E1,4,24,-51,1,8,45,-25
80:6F:B0:EE:AC:E1,4,25,-51,1,8,-57,39
80:6F:B0:EE:AC:E1,4,26,-51,1,8,50,-45
80:6F:B0:EE:AC:E1,4,27,-51,1,8,-39,43
80:6F:B0:EE:AC:E1,4,28,-51,1,8,37,-47
80:6F:B0:EE:AC:E1,4,29,-51,1,8,-35,58
80:6F:B0:EE:AC:E1,4,30,-51,1,8,24,-43
80:6F:B0:EE:AC:E1,4,31,-51,1,8,-21,47
80:6F:B0:EE:AC:E1,4,32,-51,1,8,27,-44
80:6F:B0:EE:AC:E1,4,33,-51,1,8,1,63
80:6F:B0:EE:AC:E1,4,34,-51,1,8,-6,-62
80:6F:B0:EE:AC:E1,4,35,-51,1,8,0,55
80:6F:B0:EE:AC:E1,4,36,-51,1,8,-5,-54
80:6F:B0:EE:AC:E1,4,37,-51,1,8,9,52
80:6F:B0:EE:AC:E1,4,38,-51,1,8,-16,-49
80:6F:B0:EE:AC:E1,4,39,-51,1,8,28,39
80:6F:B0:EE:AC:E1,4,40,-51,1,8,-36,-49
80:6F:B0:EE:AC:E1,4,41,-51,1,8,36,41
80:6F:B0:EE:AC:E1,4,42,-51,1,8,-47,-50
80:6F:B0:EE:AC:E1,4,43,-51,1,8,46,37
80:6F:B0:EE:AC:E1,4,44,-51,1,8,-59,-35
80:6F:B0:EE:AC:E1,4,45,-51,1,8,43,23
80:6F:B0:EE:AC:E1,4,46,-51,1,8,-40,-24
80:6F:B0:EE:AC:E1,4,47,-51,1,8,43,22
80:6F:B0:EE:AC:E1,4,48,-51,1,8,-50,-9
80:6F:B0:EE:AC:E1,4,49,-51,1,8,63,-1
80:6F:B0:EE:AC:E1,4,50,-51,1,8,-54,-15
80:6F:B0:EE:AC:E1,4,51,-51,1,8,56,-21
80:6F:B0:EE:AC:E1,4,52,-51,1,8,-51,8
80:6F:B0:EE:AC:E1,4,53,-51,1,8,48,-30
80:6F:B0:EE:AC:E1,4,54,-51,1,8,-62,7
80:6F:B0:EE:AC:E1,4,55,-51,1,8,50,-29
80:6F:B0:EE:AC:E1,4,56,-51,1,8,-47,32
80:6F:B0:EE:AC:E1,4,57,-51,1,8,43,-38
80:6F:B0:EE:AC:E1,4,58,-51,1,8,-34,47
80:6F:B0:EE:AC:E1,4,59,-51,1,8,37,-45
80:6F:B0:EE:AC:E1,4,60,-51,1,8,-30,34
80:6F:B0:EE:AC:E1,4,61,-51,1,8,25,-64
80:6F:B0:EE:AC:E1,4,62,-51,1,8,-21,38
80:6F:B0:EE:AC:E1,4,63,-51,1,8,2,-64
80:6F:B0:EE:AC:E1,4,64,-51,1,8,5,63
80:6F:B0:EE:AC:E1,4,65,-51,1,8,18,-51
